AL,36,62,"849,624","1,441,170"
AK,42.8,52.8,"153,502","189,543"
AZ,49.4,49.1,"1,672,143","1,661,686"
AR,34.8,62.4,"423,916","760,613"
CA,63.5,34.3,"11,055,577","5,962,975"
CO,55.4,41.9,"1,804,184","1,364,467"
CT,59.2,39.2,"1,080,680","715,291"
DE,58.8,39.8,"296,268","200,603"
DC,92.1,5.4,"317,323","18,586"
FL,47.9,51.2,"5,297,045","5,668,731"
GA,49.5,49.3,"2,474,507","2,461,837"
HI,63.7,37.3,"366,130","196,864"
ID,33.1,63.8,"287,021","554,118"
IL,57.5,40.5,"3,460,611","2,437,755"
IN,40.9,57,"1,241,774","1,729,446"
IA,44.9,53.2,"758,881","897,467"
KS,41.3,56.4,"551,144","752,903"
KY,36.1,62.1,"772,474","1,326,646"
LA,39.9,58.5,"856,034","1,255,776"
ME,52.8,44.1,"431,277","360,446"
MD,65.7,32.3,"1,985,023","976,414"
MA,65.6,32.1,"2,382,202","1,167,202"
MI,50.6,47.8,"2,804,040","2,649,852"
MN,52.4,45.3,"1,717,177","1,484,065"
MS,41,57.5,"539,494","756,731"
MO,41.4,56.7,"1,253,561","1,717,912"
MT,40.4,56.7,"244,786","343,602"
NE,39.3,58.5,"374,583","556,846"
NV,50.1,47.7,"703,486","669,890"
NH,52.8,45.5,"424,921","365,654"
NJ,57.1,41.2,"2,607,331","1,882,454"
NM,54.3,43.5,"501,614","401,894"
NY,56.8,41.7,"4,076,327","2,987,266"
NC,48.6,49.9,"2,684,302","2,758,775"
ND,31.8,65.1,"114,902","235,595"
OH,45.2,53.8,"2,678,501","3,153,336"
OK,32.3,65.4,"503,890","1,020,280"
OR,56.4,40.5,"1,346,141","966,627"
PA,50,48.8,"3,458,229","3,377,674"
RI,59.4,38.6,"307,486","199,922"
SC,43.4,55.1,"1,091,541","1,385,103"
SD,35.6,61.8,"150,471","261,043"
TN,37.4,60.6,"1,139,376","1,849,820"
TX,46.5,52,"5,261,061","5,891,792"
UT,37.6,58.1,"560,282","865,140"
VT,66.1,30.7,"242,820","112,704"
VA,54.1,44,"2,413,568","1,962,430"
WA,58.4,39,"2,369,437","1,584,588"
WV,29.7,68.6,"235,847","545,051"
WI,49.4,48.8,"1,630,716","1,610,151"
WY,26.6,69.9,"73,491","193,559"
